Date,Location,Opponent,Goal_For,Goal_Against,Result,Venue_code,opp_code,target
2021-04-22,Home,Getafe CF,5,2,W,1,7,1
2021-04-25,Away,Villarreal CF,2,1,W,0,24,1
2021-04-29,Home,Granada CF,1,2,L,1,9,0
2021-02-05,Away,Valencia CF,3,2,W,0,23,1
2021-08-05,Home,Atlético de Madrid,0,0,D,1,1,0
2021-11-05,Away,Levante UD,3,3,D,0,10,0
2021-05-16,Home,RC Celta,1,2,L,1,11,0
2021-05-22,Away,SD Eibar,1,0,W,0,19,1
2021-08-15,Home,Real Sociedad,4,2,W,1,17,1
2021-08-21,Away,Athletic Club,1,1,D,0,0,0
2021-08-29,Home,Getafe CF,2,1,W,1,7,1
2021-09-20,Home,Granada CF,1,1,D,1,9,0
2021-09-23,Away,Cádiz CF,0,0,D,0,4,0
2021-09-26,Home,Levante UD,3,0,W,1,10,1
2021-02-10,Away,Atlético de Madrid,0,2,L,0,1,0
2021-10-17,Home,Valencia CF,3,1,W,1,23,1
2021-10-24,Home,Real Madrid,1,2,L,1,16,0
2021-10-27,Away,Rayo Vallecano,0,1,L,0,14,0
2021-10-30,Home,Deportivo Alavés,1,1,D,1,5,0
2021-06-11,Away,RC Celta,3,3,D,0,11,0
2021-11-20,Home,RCD Espanyol,1,0,W,1,12,1
2021-11-27,Away,Villarreal CF,3,1,W,0,24,1
2021-04-12,Home,Real Betis,0,1,L,1,15,0
2021-12-12,Away,CA Osasuna,2,2,D,0,2,0
2021-12-18,Home,Elche CF,3,2,W,1,6,1
2021-12-21,Away,Sevilla FC,1,1,D,0,21,0
2022-02-01,Away,RCD Mallorca,1,0,W,0,13,1
2022-08-01,Away,Granada CF,1,1,D,0,9,0
2022-01-23,Away,Deportivo Alavés,1,0,W,0,5,1
2022-06-02,Home,Atlético de Madrid,4,2,W,1,1,1
2022-02-13,Away,RCD Espanyol,2,2,D,0,12,0
2022-02-20,Away,Valencia CF,4,1,W,0,23,1
2022-02-27,Home,Athletic Club,4,0,W,1,0,1
2022-06-03,Away,Elche CF,2,1,W,0,6,1
2022-03-13,Home,CA Osasuna,4,0,W,1,2,1
2022-03-20,Away,Real Madrid,4,0,W,0,16,1
2022-03-04,Home,Sevilla FC,1,0,W,1,21,1
2022-10-04,Away,Levante UD,3,2,W,0,10,1
2022-04-18,Home,Cádiz CF,0,1,L,1,4,0
2022-04-21,Away,Real Sociedad,1,0,W,0,17,1
2022-04-24,Home,Rayo Vallecano,0,1,L,1,14,0
2022-01-05,Home,RCD Mallorca,2,1,W,1,13,1
2022-07-05,Away,Real Betis,2,1,W,0,15,1
2022-11-05,Home,RC Celta,3,1,W,1,11,1
2022-05-15,Away,Getafe CF,0,0,D,0,7,0
2022-05-22,Home,Villarreal CF,0,2,L,1,24,0
2022-08-13,Home,Rayo Vallecano,0,0,D,1,14,0
2022-08-21,Away,Real Sociedad,4,1,W,0,17,1
2022-08-28,Home,Real Valladolid CF,4,0,W,1,18,1
2022-03-09,Away,Sevilla FC,3,0,W,0,21,1
2022-10-09,Away,Cádiz CF,4,0,W,0,4,1
2022-09-17,Home,Elche CF,3,0,W,1,6,1
2022-01-10,Away,RCD Mallorca,1,0,W,0,13,1
2022-09-10,Home,RC Celta,1,0,W,1,11,1
2022-10-16,Away,Real Madrid,1,3,L,0,16,0
2022-10-20,Home,Villarreal CF,3,0,W,1,24,1
2022-10-23,Home,Athletic Club,4,0,W,1,0,1
2022-10-29,Away,Valencia CF,1,0,W,0,23,1
2022-05-11,Home,UD Almería,2,0,W,1,22,1
2022-08-11,Away,CA Osasuna,2,1,W,0,2,1
2022-12-31,Home,RCD Espanyol,1,1,D,1,12,0
2023-08-01,Away,Atlético de Madrid,1,0,W,0,1,1
2023-01-02,Away,Real Betis,2,1,W,0,15,1
2023-01-22,Home,Getafe CF,1,0,W,1,7,1
2023-01-28,Away,Girona FC,1,0,W,0,8,1
2023-05-02,Home,Sevilla FC,3,0,W,1,21,1
2023-12-02,Away,Villarreal CF,1,0,W,0,24,1
2023-02-19,Home,Cádiz CF,2,0,W,1,4,1
2023-02-26,Away,UD Almería,0,1,L,0,22,0
2023-05-03,Home,Valencia CF,1,0,W,1,23,1
2023-12-03,Away,Athletic Club,1,0,W,0,0,1
2023-03-19,Home,Real Madrid,2,1,W,1,16,1
2023-01-04,Away,Elche CF,4,0,W,0,6,1
2023-10-04,Home,Girona FC,0,0,D,1,8,0
2023-04-16,Away,Getafe CF,0,0,D,0,7,0
2023-04-23,Home,Atlético de Madrid,1,0,W,1,1,1
2023-04-26,Away,Rayo Vallecano,1,2,L,0,14,0
2023-04-29,Home,Real Betis,4,0,W,1,15,1
2023-02-05,Home,CA Osasuna,1,0,W,1,2,1
2023-05-14,Away,RCD Espanyol,4,2,W,0,12,1
2023-05-20,Home,Real Sociedad,1,2,L,1,17,0
2023-05-23,Away,Real Valladolid CF,1,3,L,0,18,0
2023-05-28,Home,RCD Mallorca,3,0,W,1,13,1
2023-04-06,Away,RC Celta,1,2,L,0,11,0
