Date,Location,Opponent,Goal_For,Goal_Against,Result
13/3/2022,Home,CA Osasuna,4,0,
20/3/2022,Away,Real Madrid,4,0,
3/4/2022,Home,Sevilla FC,1,0,
10/4/2022,Away,Levante UD,3,2,
18/4/2022,Home,Cádiz CF,0,1,
21/4/2022,Away,Real Sociedad,1,0,
24/4/2022,Home,Rayo Vallecano,0,1,
1/5/2022,Home,RCD Mallorca,2,1,
7/5/2022,Away,Real Betis,2,1,
11/5/2022,Home,RC Celta,3,1,
15/5/2022,Away,Getafe CF,0,0,
22/5/2022,Home,Villarreal CF,0,2,
13/8/2022,Home,Rayo Vallecano,0,0,
21/8/2022,Away,Real Sociedad,4,1,
28/8/2022,Home,Real Valladolid CF,4,0,
3/9/2022,Away,Sevilla FC,3,0,
10/9/2022,Away,Cádiz CF,4,0,
17/9/2022,Home,Elche CF,3,0,
1/10/2022,Away,RCD Mallorca,1,0,
9/10/2022,Home,RC Celta,1,0,
16/10/2022,Away,Real Madrid,1,3,
20/10/2022,Home,Villarreal CF,3,0,
23/10/2022,Home,Athletic Club,4,0,
29/10/2022,Away,Valencia CF,1,0,
5/11/2022,Home,UD Almería,2,0,
8/11/2022,Away,CA Osasuna,2,1,
31/12/2022,Home,RCD Espanyol,1,1,
8/1/2023,Away,Atlético de Madrid,1,0,
1/2/2023,Away,Real Betis,2,1,
22/1/2023,Home,Getafe CF,1,0,
28/1/2023,Away,Girona FC,1,0,
5/2/2023,Home,Sevilla FC,3,0,
12/2/2023,Away,Villarreal CF,1,0,
19/2/2023,Home,Cádiz CF,2,0,
26/2/2023,Away,UD Almería,0,1,
5/3/2023,Home,Valencia CF,1,0,
12/3/2023,Away,Athletic Club,1,0,
19/3/2023,Home,Real Madrid,2,1,
1/4/2023,Away,Elche CF,4,0,
10/4/2023,Home,Girona FC,0,0,
16/4/2023,Away,Getafe CF,0,0,
23/4/2023,Home,Atlético de Madrid,1,0,
26/4/2023,Away,Rayo Vallecano,1,2,
29/4/2023,Home,Real Betis,4,0,
2/5/2023,Home,CA Osasuna,1,0,
14/5/2023,Away,RCD Espanyol,4,2,
20/5/2023,Home,Real Sociedad,1,2,
23/5/2023,Away,Real Valladolid CF,1,3,
28/5/2023,Home,RCD Mallorca,3,0,
4/6/2023,Away,RC Celta,1,2,
